COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Reference	p_Chennai	N_Reference	N_Chennai
RNA processing exonuclease, beta-lactamase fold, Cft2 family (YSH1) (PDB:2DKF)	0	1	1	NA	COG1236	GC_00000105, GC_00001568, GC_00002820, GC_00004636, GC_00005710, GC_00007026, GC_00007567	1	1	20	11
Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB)	0	1	1	NA	COG0682	GC_00000841	1	1	20	11
Ribose 5-phosphate isomerase (RpiA) (PDB:1KS2)	0	1	1	NA	COG0120	GC_00000715	1	1	20	11
Dihydroorotate dehydrogenase (PyrD) (PDB:1GT8)	0	1	1	NA	COG0167	GC_00000822	1	1	20	11
D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family (AdhP) (PDB:5O8Q)	0	1	1	NA	COG1064	GC_00000728, GC_00001567, GC_00002156, GC_00005017	1	1	20	11
3-dehydroquinate dehydratase (AroQ) (PDB:1D0I)	0	1	1	NA	COG0757	GC_00000530	1	1	20	11
Flavin prenyltransferase UbiX (UbiX) (PDB:1SBZ) (PUBMED:28754323;26083743)	0	1	1	NA	COG0163	GC_00000756	1	1	20	11
Lhr-like helicase (Lhr) (PDB:5V9X)	0	1	1	NA	COG1201	GC_00000275, GC_00002734, GC_00004081	1	1	20	11
3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	0	1	1	NA	COG1250	GC_00000211, GC_00002711	1	1	20	11
Erythromycin esterase homolog (YbfO) (PDB:2QGM)	0	1	1	NA	COG2312	GC_00001482	1	1	20	11
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!PAS domain (PAS) (PDB:2MWG)!!!GAF domain (GAF)	0	1	1	NA	COG2199!!!COG2202!!!COG2203	GC_00000233	1	1	20	11
S-formylglutathione hydrolase FrmB (FrmB) (PDB:1DQY)	0	1	1	NA	COG0627	GC_00001935	1	1	20	11
D-arabinose 5-phosphate isomerase GutQ (GutQ) (PDB:5UQI)!!!Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	0	1	1	NA	COG0794!!!COG2905	GC_00001943	1	1	20	11
Arginine exporter protein ArgO (ArgO)	0	1	1	NA	COG1279	GC_00001425	1	1	20	11
Small heat shock protein IbpA, HSP20 family (IbpA) (PDB:1GME)	0	1	1	NA	COG0071	GC_00001276, GC_00002796, GC_00004176, GC_00007494	1	1	20	11
Acetate kinase (AckA) (PDB:3SK3)	0	1	1	NA	COG0282	GC_00000775, GC_00004879, GC_00007448	1	1	20	11
Adenylosuccinate lyase (PurB) (PDB:2HVG)	0	1	1	NA	COG0015	GC_00002050, GC_00002511	1	1	20	11
RNase P protein component (RnpA) (PDB:1A6F)	0	1	1	NA	COG0594	GC_00000406	1	1	20	11
TRAP-type uncharacterized transport system, periplasmic component (Imp) (PDB:1US4)	0	1	1	NA	COG2358	GC_00000447, GC_00000448, GC_00000993	1	1	20	11
Spermidine synthase (polyamine aminopropyltransferase) (SpeE) (PDB:6BQ2)	0	1	1	NA	COG0421	GC_00001527, GC_00001974, GC_00002301	1	1	20	11
Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I) (NuoI) (PDB:1B0P)	0	1	1	NA	COG1143	GC_00000371, GC_00003814	1	1	20	11
Predicted dioxygenase of extradiol dioxygenase family	0	1	1	NA	COG3565	GC_00001519	1	1	20	11
ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)	0	1	1	NA	COG1126	GC_00002204, GC_00003326, GC_00003643, GC_00003805	1	1	20	11
Lactoylglutathione lyase-related enzyme, vicinal oxygen chelate (VOC) family (VOC) (PDB:3OXH) (PUBMED:31710815)	0	1	1	NA	COG3324	GC_00001687	1	1	20	11
Predicted phosphoribosyltransferase	0	1	1	NA	COG1926	GC_00000838	1	1	20	11
Outer membrane translocation and assembly module TamA (TamA) (PDB:4BZA)	0	1	1	NA	COG0729	GC_00001395, GC_00003106	1	1	20	11
Formamidopyrimidine-DNA glycosylase (Nei) (PDB:1EE8)	0	1	1	NA	COG0266	GC_00001043, GC_00003159	1	1	20	11
Acetyltransferase, isoleucine patch superfamily (WbbJ)	0	1	1	NA	COG0110	GC_00001148, GC_00004180, GC_00007159	1	1	20	11
Phosphotransferase system, fructose-specific IIC component (FrwC)!!!Phosphotransferase system fructose-specific component IIB (FrwB) (PDB:5DLE)	0	1	1	NA	COG1299!!!COG1445	GC_00002057	1	1	20	11
DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)	0	1	1	NA	COG1802	GC_00000614, GC_00000873, GC_00007203	1	1	20	11
L-amino acid N-acyltransferase MnaT (MnaT) (PDB:3DR6) (PUBMED:27941785)	0	1	1	NA	COG1247	GC_00001205	1	1	20	11
HD-GYP domain, c-di-GMP phosphodiesterase class II (or its inactivated variant) (HDGYP) (PDB:5Z7C) (PUBMED:23475961)	0	1	1	NA	COG2206	GC_00001769, GC_00003157	1	1	20	11
C-terminal processing protease CtpA/Prc, contains a PDZ domain (CtpA) (PDB:6IQU)	0	1	1	NA	COG0793	GC_00000732, GC_00003604	1	1	20	11
Protein translocase subunit YajC (YajC)	0	1	1	NA	COG1862	GC_00001142	1	1	20	11
Uncharacterized conserved protein, DUF58 family, contains vWF domain (YeaD2)	0	1	1	NA	COG1721	GC_00001891, GC_00002705, GC_00002893	1	1	20	11
Predicted ferric reductase	0	1	1	NA	COG4097	GC_00001280	1	1	20	11
PAS domain (PAS) (PDB:2MWG)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain	0	1	1	NA	COG2202!!!COG5001	GC_00001993, GC_00002071, GC_00002629, GC_00004626	1	1	20	11
Predicted epimerase YddE/YHI9, PhzF superfamily (YHI9) (PDB:1SDJ) (PUBMED:24914732)	0	1	1	NA	COG0384	GC_00001584	1	1	20	11
Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)	0	1	1	NA	COG0642!!!COG0784	GC_00000061, GC_00000490	1	1	20	11
Sulfur carrier protein TusA (tRNA thiolation, molybdenum cofactor biosynthesis) (TusA) (PDB:1DCJ) (PUBMED:23894086)	0	1	1	NA	COG0425	GC_00000434, GC_00000700, GC_00000962, GC_00007467	1	1	20	11
MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity (MraZ) (PDB:1N0E)	0	1	1	NA	COG2001	GC_00000787	1	1	20	11
ABC-type transport system involved in multi-copper enzyme maturation, permease component (NosY)	0	1	1	NA	COG1277	GC_00002158, GC_00002252, GC_00004298, GC_00006387	1	1	20	11
ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)	0	1	1	NA	COG1079	GC_00002540, GC_00002833	1	1	20	11
Beta-lactamase class A (PenP) (PDB:6W34)	0	1	1	NA	COG2367	GC_00001746, GC_00003615, GC_00006990	1	1	20	11
Intermembrane transporter PqiABC lipoprotein subunit PqiC (PqiC) (PDB:6OSX) (PUBMED:27795327)	0	1	1	NA	COG3009	GC_00000646, GC_00007506	1	1	20	11
Acetyl xylan esterase AxeA and related esterases, LpqC family (LpqC) (PDB:2D80) (PUBMED:9291122)	0	1	1	NA	COG3509	GC_00002034	1	1	20	11
FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor) (Tig) (PDB:5OWI)	0	1	1	NA	COG0544	GC_00001080	1	1	20	11
3'->5' ssDNA/RNA exonuclease TatD (TatD) (PDB:1J6O) (PUBMED:10747959;25114049)	0	1	1	NA	COG0084	GC_00001044, GC_00001869, GC_00002593, GC_00004613, GC_00007344	1	1	20	11
Outer membrane beta-barrel protein assembly factor BamC (BamC) (PDB:2LAE) (PUBMED:21823654;28760846)	0	1	1	NA	COG3317	GC_00001741	1	1	20	11
Uncharacterized membrane protein, DUF2061 family (PUBMED:15901686)	0	1	1	NA	COG3205	GC_00000026	1	1	20	11
Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC (TctC) (PDB:2DVZ)	0	1	1	NA	COG3181	GC_00000991, GC_00003698, GC_00006610	1	1	20	11
Trehalose-6-phosphate synthase, GT20 family (OtsA) (PDB:1UQT) (PUBMED:28830929)	0	1	1	NA	COG0380	GC_00000981	1	1	20	11
Membrane-associated protease RseP, regulator of RpoE activity (RseP)	0	1	1	NA	COG0750	GC_00001343	1	1	20	11
Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family (TauE) (PUBMED:21183667;22797525)	0	1	1	NA	COG0730	GC_00000220, GC_00000549, GC_00000861, GC_00000885, GC_00001192, GC_00004635, GC_00005944	1	1	20	11
Phytoene dehydrogenase-related protein (PDB:4REP)	0	1	1	NA	COG1233	GC_00001886	1	1	20	11
ABC-type multidrug transport system, ATPase component (CcmA) (PDB:5DO7)	0	1	1	NA	COG1131	GC_00000897, GC_00001469, GC_00001483, GC_00002152, GC_00002254, GC_00004293, GC_00005705	1	1	20	11
NAD dependent epimerase/dehydratase family enzyme (YfcH) (PDB:4B4O)	0	1	1	NA	COG1090	GC_00001648	1	1	20	11
GTPase Era, involved in 16S rRNA processing (Era) (PDB:1EGA)	0	1	1	NA	COG1159	GC_00000411, GC_00004937, GC_00005150	1	1	20	11
Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit (HyfB) (PDB:6CFW)	0	1	1	NA	COG0651	GC_00000253, GC_00001500, GC_00002237, GC_00002308, GC_00003168	1	1	20	11
Geranylgeranyl pyrophosphate synthase (IspA) (PDB:2AZJ)	0	1	1	NA	COG0142	GC_00000892, GC_00001011, GC_00002550	1	1	20	11
Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase (WrbA) (PDB:4DY4)	0	1	1	NA	COG0655	GC_00000725, GC_00000726, GC_00001063	1	1	20	11
Excinuclease UvrABC ATPase subunit (UvrA) (PDB:2R6F)	0	1	1	NA	COG0178	GC_00002851, GC_00003899, GC_00005344	1	1	20	11
Pyridoxine/pyridoxamine 5'-phosphate oxidase (PdxH) (PDB:1CI0)	0	1	1	NA	COG0259	GC_00001066	1	1	20	11
Cell division protein FtsX (FtsX)	0	1	1	NA	COG2177	GC_00000590	1	1	20	11
Phosphate transport regulator YkaA, distantly related to PhoU, UPF0111/DUF47 family (YkaA) (PDB:2IIU)	0	1	1	NA	COG1392	GC_00000871, GC_00004707	1	1	20	11
Short-chain dehydrogenase (YqjQ)	0	1	1	NA	COG0300	GC_00000112, GC_00001155, GC_00001542, GC_00001550, GC_00001796, GC_00002678, GC_00003108, GC_00003522, GC_00007271, GC_00007335	1	1	20	11
SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9)	0	1	1	NA	COG1974	GC_00000837, GC_00003622, GC_00004446, GC_00006322	1	1	20	11
Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)	0	1	1	NA	COG0841	GC_00001368, GC_00002468, GC_00002740, GC_00002943, GC_00003079, GC_00003450, GC_00003659, GC_00004357, GC_00006130, GC_00006604, GC_00006903, GC_00007264	1	1	20	11
UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase (Rfe) (PDB:4J72)	0	1	1	NA	COG0472	GC_00000607, GC_00004288	1	1	20	11
Elongation factor P Arg32-rhamnosyltransferase EarP (EarP) (PDB:5NV8) (PUBMED:28951478;29440735)	0	1	1	NA	COG4394	GC_00001940	1	1	20	11
Twin-arginine protein secretion pathway components TatA and TatB (TatA) (PDB:2L16)	0	1	1	NA	COG1826	GC_00000009, GC_00001744	1	1	20	11
Uncharacterized conserved protein YcsI, UPF0317/DUF1446 family (YcsI) (PDB:2PIF)	0	1	1	NA	COG4336	GC_00000199	1	1	20	11
Phosphatidylglycerol kinase, diacylglycerol kinase family (LCB5) (PDB:2BON) (PUBMED:17351295)	0	1	1	NA	COG1597	GC_00001897, GC_00007303, GC_00007785	1	1	20	11
23S rRNA C2501 and tRNA U34 5'-hydroxylation protein RlhA/YrrN/YrrO, U32 peptidase family (RlhA) (PDB:5D88) (PUBMED:31253794;31358606)	0	1	1	NA	COG0826	GC_00001096, GC_00001750, GC_00002492, GC_00003402	1	1	20	11
Acyl-CoA thioesterase FadM (FadM) (PDB:2FUJ)	0	1	1	NA	COG0824	GC_00000785, GC_00001159, GC_00002372, GC_00002533, GC_00003720, GC_00003993, GC_00006869	1	1	20	11
Radical SAM superfamily enzyme YgiQ, UPF0313 family (YgiQ) (PDB:6FD2)	0	1	1	NA	COG1032	GC_00000174, GC_00000226, GC_00004771	1	1	20	11
Uncharacterized conserved protein	0	1	1	NA	COG3399	GC_00000789, GC_00001127, GC_00001263, GC_00001299, GC_00001341, GC_00001367, GC_00002101, GC_00003235, GC_00003785, GC_00004340, GC_00004525, GC_00004789, GC_00005430, GC_00005778, GC_00005812, GC_00006343, GC_00006696, GC_00006784, GC_00006929, GC_00007434, GC_00007500	1	1	20	11
Gamma-glutamyltranspeptidase (Ggt) (PDB:2Z8I) (PUBMED:16618936)	0	1	1	NA	COG0405	GC_00002721, GC_00003114, GC_00006115	1	1	20	11
Trk-type K+ transport system, membrane component (TrkG) (PDB:3PJZ)	0	1	1	NA	COG0168	GC_00000565, GC_00002344	1	1	20	11
16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B) (RsmG) (PDB:1XDZ) (PUBMED:15375115;22031445)	0	1	1	NA	COG0357	GC_00001303	1	1	20	11
Cytochrome c-type biogenesis protein CcmH/NrfG (NrfG)	0	1	1	NA	COG4235	GC_00001903	1	1	20	11
RNase adaptor protein RapZ for GlmZ sRNA degradation, contains a P-loop ATPase domain (RapZ) (PDB:5O5O) (PUBMED:23475961)	0	1	1	NA	COG1660	GC_00000879	1	1	20	11
Heme-binding protein HbpS, GlcG/HbpS family (GlcG) (PDB:2A2L) (PUBMED:19244623;25342754)	0	1	1	NA	COG3193	GC_00002115, GC_00002422, GC_00006642, GC_00007146	1	1	20	11
2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)	0	1	1	NA	COG2227	GC_00000426, GC_00002557, GC_00002579, GC_00005379, GC_00005836, GC_00007229	1	1	20	11
Glycosidase/amylase (phosphorylase) (AmyA) (PDB:2P67) (PUBMED:29684280)	0	1	1	NA	COG0366	GC_00001006, GC_00001471, GC_00001793, GC_00002240, GC_00002911, GC_00003125, GC_00003618	1	1	20	11
Phosphoribosyl-ATP pyrophosphohydrolase (HisI2) (PDB:6J22)	0	1	1	NA	COG0140	GC_00000628	1	1	20	11
3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase (FabA) (PDB:1MKA)	0	1	1	NA	COG0764	GC_00000432, GC_00002801	1	1	20	11
Phosphomannomutase (ManB) (PDB:6MNV)	0	1	1	NA	COG1109	GC_00000431, GC_00002608, GC_00005245, GC_00005862	1	1	20	11
Murein L,D-transpeptidase YafK (YafK) (PDB:4XZZ)	0	1	1	NA	COG3034	GC_00000682	1	1	20	11
Protoporphyrinogen oxidase HemJ (unrelated to HemG or HemY) (HemJ) (PUBMED:20823222;21642412;25108393;29925590)	0	1	1	NA	COG1981	GC_00000455, GC_00002095	1	1	20	11
5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit (MtnA) (PDB:1T5O) (PUBMED:31950558)	0	1	1	NA	COG0182	GC_00001634	1	1	20	11
DNA repair exonuclease SbcCD ATPase subunit (SbcC) (PDB:3QKR)	0	1	1	NA	COG0419	GC_00003128, GC_00003297, GC_00005062, GC_00005266, GC_00005839, GC_00006303, GC_00007381, GC_00007469	1	1	20	11
Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA (NqrA) (PDB:4P6V)	0	1	1	NA	COG1726	GC_00000927	1	1	20	11
Glycerol kinase (GlpK) (PDB:2ZF5)	0	1	1	NA	COG0554	GC_00001539	1	1	20	11
Ribonuclease BN, tRNA processing enzyme (ElaC) (PDB:1WW1)	0	1	1	NA	COG1234	GC_00001782	1	1	20	11
tRNA (Thr-GGU) A37 N6-methylase (TrmO) (PDB:1XQB) (PUBMED:22905870)	0	1	1	NA	COG1720	GC_00000859	1	1	20	11
Acetylornithine aminotransferase/4-aminobutyrate aminotransferase (ArgD) (PDB:1SF2)	0	1	1	NA	COG0160	GC_00001838, GC_00002588	1	1	20	11
UDP-2,3-diacylglucosamine pyrophosphatase LpxH (LpxH) (PDB:5WLY)	0	1	1	NA	COG2908	GC_00001787	1	1	20	11
Ketopantoate reductase (PanE) (PDB:1BG6)	0	1	1	NA	COG1893	GC_00001942, GC_00001992, GC_00005921, GC_00006153	1	1	20	11
Membrane-anchored ribosome-binding protein ElaB, inhibits growth in stationary phase, YqjD/DUF883 family (ElaB)	0	1	1	NA	COG4575	GC_00000399, GC_00002352	1	1	20	11
HrpA-like RNA helicase (HrpA) (PDB:5N8R)	0	1	1	NA	COG1643	GC_00000072, GC_00002735	1	1	20	11
L-lactate utilization protein LutB, contains a ferredoxin-type domain (LutB)	0	1	1	NA	COG1139	GC_00001115	1	1	20	11
Acetolactate synthase, small subunit (IlvH) (PDB:2F1F)!!!Homoserine dehydrogenase (ThrA) (PDB:5AVO) (PUBMED:29124164)	0	1	1	NA	COG0440!!!COG0460	GC_00000942	1	1	20	11
Uncharacterized lipoprotein YbaY (YbaY) (PDB:5WEC)	0	1	1	NA	COG3126	GC_00001178	1	1	20	11
DNA-binding transcriptional regulator, FrmR family (FrmR) (PDB:2HH7)	0	1	1	NA	COG1937	GC_00000651, GC_00004053	1	1	20	11
5'-3' exoribonuclease TrpH/YciV (RNase AM), contains PHP domain (YciV) (PDB:3E0F) (PUBMED:25871919)	0	1	1	NA	COG0613	GC_00001521	1	1	20	11
Biotin carboxyl carrier protein (AccB) (PDB:1A6X)!!!Pyruvate/oxaloacetate carboxyltransferase (OadA1) (PDB:2NX9) (PUBMED:18681940)	0	1	1	NA	COG0511!!!COG5016	GC_00003062, GC_00003221	1	1	20	11
GTPase involved in cell partioning and DNA repair (Obg) (PDB:1LNZ)	0	1	1	NA	COG0536	GC_00001032	1	1	20	11
2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)	0	1	1	NA	COG1902	GC_00001097, GC_00001753, GC_00002011, GC_00002413, GC_00005028, GC_00007164, GC_00007678	1	1	20	11
Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family) (GlpF) (PDB:1FQY)	0	1	1	NA	COG0580	GC_00000600	1	1	20	11
Regulator of protease activity HflC, stomatin/prohibitin superfamily (HflC)	0	1	1	NA	COG0330	GC_00000299, GC_00000583, GC_00000807	1	1	20	11
tRNA A37 N6-isopentenylltransferase MiaA (MiaA) (PDB:2ZM5)	0	1	1	NA	COG0324	GC_00001845	1	1	20	11
Hemoglobin-like flavoprotein (Hmp) (PDB:3OZU)	0	1	1	NA	COG1017	GC_00001467	1	1	20	11
Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	0	1	1	NA	COG2352	GC_00001295	1	1	20	11
2-hydroxy fatty acid dioxygenase MPO1 (alpha-oxidation of fatty acids) (MPO1) (PUBMED:30530523)	0	1	1	NA	COG4539	GC_00001451	1	1	20	11
Threonine aldolase (GLY1) (PDB:4LNJ)	0	1	1	NA	COG2008	GC_00000239, GC_00002876	1	1	20	11
Glutamyl- or glutaminyl-tRNA synthetase (GlnS) (PDB:1EUQ)	0	1	1	NA	COG0008	GC_00001252, GC_00001832, GC_00002717	1	1	20	11
Uncharacterized CoxE-like protein,  contains von Willebrand factor type A (vWA) domain (CoxE2)	0	1	1	NA	COG3825	GC_00000944	1	1	20	11
Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)	0	1	1	NA	COG2141	GC_00002662, GC_00003075, GC_00003442, GC_00003753	1	1	20	11
Bacterial lipocalin Blc (Blc) (PDB:1QWD)	0	1	1	NA	COG3040	GC_00001169	1	1	20	11
ABC-type phosphate/phosphonate transport system, periplasmic component (PhnD) (PDB:3S4U)	0	1	1	NA	COG3221	GC_00000820, GC_00004247, GC_00007016, GC_00007741	1	1	20	11
Stalled ribosome alternative rescue factor ArfA (ArfA)	0	1	1	NA	COG3036	GC_00000528	1	1	20	11
DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains (CitB) (PDB:1A04)	0	1	1	NA	COG2197	GC_00000098, GC_00000444, GC_00000531, GC_00000588, GC_00000648, GC_00000729, GC_00000782, GC_00002219, GC_00003987, GC_00004076, GC_00004678	1	1	20	11
Flagellar hook-length control protein FliK (FliK) (PDB:2RRL)	0	1	1	NA	COG3144	GC_00001267, GC_00002716, GC_00004017	1	1	20	11
ABC-type uncharacterized transport system involved in gliding motility, auxiliary component (GldG)	0	1	1	NA	COG3225	GC_00001516	1	1	20	11
Ribosome maturation factor RimP (RimP) (PDB:1IB8)	0	1	1	NA	COG0779	GC_00000498	1	1	20	11
Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6)	0	1	1	NA	COG0119	GC_00002367, GC_00002901, GC_00003150, GC_00003390, GC_00003965, GC_00004270, GC_00007198, GC_00007596	1	1	20	11
Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)	0	1	1	NA	COG4638	GC_00000097, GC_00005714, GC_00006439, GC_00006501, GC_00006975, GC_00007025, GC_00007091, GC_00007468	1	1	20	11
Na+/alanine symporter (AlsT) (PDB:6CSE)	0	1	1	NA	COG1115	GC_00000148, GC_00002278	1	1	20	11
Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	0	1	1	NA	COG4191	GC_00002687, GC_00002969, GC_00003367	1	1	20	11
Ribosome modulation factor (Rmf) (PDB:2JRM)	0	1	1	NA	COG3130	GC_00000284	1	1	20	11
ABC-type Mn2+/Zn2+ transport system, ATPase component (ZnuC)	0	1	1	NA	COG1121	GC_00000256, GC_00001119	1	1	20	11
Serine transporter YbeC, amino acid:H+ symporter family (PotE) (PDB:3LRB)	0	1	1	NA	COG0531	GC_00000222, GC_00001120, GC_00002895	1	1	20	11
Zn-dependent alcohol/formaldehyde dehydrogenase (FrmA) (PDB:1A71)	0	1	1	NA	COG1062	GC_00001326, GC_00004538	1	1	20	11
Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)	0	1	1	NA	COG2050	GC_00000504, GC_00000639, GC_00000662, GC_00001389, GC_00001443, GC_00001503, GC_00003061, GC_00005388	1	1	20	11
CMP-2-keto-3-deoxyoctulosonic acid synthetase (KdsB) (PDB:1VH1)	0	1	1	NA	COG1212	GC_00001724, GC_00005869	1	1	20	11
GAF domain (GAF)!!!Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain	0	1	1	NA	COG2203!!!COG5001	GC_00001736	1	1	20	11
Endonuclease YncB, thermonuclease family (YncB)	0	1	1	NA	COG1525	GC_00001227, GC_00002066	1	1	20	11
Uncharacterized membrane protein YqhA (YqhA)	0	1	1	NA	COG2862	GC_00000374	1	1	20	11
Uroporphyrinogen-III synthase (HemD) (PDB:1JR2)	0	1	1	NA	COG1587	GC_00002013	1	1	20	11
Aconitase B (AcnB) (PDB:1L5J)	0	1	1	NA	COG1049	GC_00001589	1	1	20	11
Glutaredoxin-related protein (GrxD) (PDB:1YKA)	0	1	1	NA	COG0278	GC_00000428, GC_00003901	1	1	20	11
ABC-type Fe3+ transport system, permease component (FbpB)	0	1	1	NA	COG1178	GC_00001279	1	1	20	11
Ferredoxin (Fdx) (PDB:1KRH)	0	1	1	NA	COG0633	GC_00000150	1	1	20	11
Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family (RidA) (PDB:1J7H) (PUBMED:22094463;32205462)	0	1	1	NA	COG0251	GC_00000330, GC_00000707, GC_00002452, GC_00002926, GC_00003099, GC_00003863	1	1	20	11
Thiosulfate dehydrogenase TsdA, contains C-terminal cytochrome c domain (TsdA) (PUBMED:32457501)	0	1	1	NA	COG3258	GC_00001653	1	1	20	11
Regulator of sigma D (Rsd) (PDB:2P7V)	0	1	1	NA	COG3160	GC_00000519	1	1	20	11
DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif (RadC) (PDB:2QLC) (PUBMED:9695921)	0	1	1	NA	COG2003	GC_00000748, GC_00003844, GC_00003886, GC_00004382	1	1	20	11
Membrane-bound inhibitor of C-type lysozyme (MliC) (PDB:2F09)	0	1	1	NA	COG3895	GC_00000363	1	1	20	11
2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (IspF) (PDB:1GX1)	0	1	1	NA	COG0245	GC_00001061	1	1	20	11
Signal transduction histidine kinase (BaeS) (PDB:1JOY)	0	1	1	NA	COG0642	GC_00000047, GC_00000160, GC_00000771, GC_00000926, GC_00001088, GC_00001973, GC_00002021, GC_00002049, GC_00002067, GC_00002238, GC_00002585, GC_00002617, GC_00003077, GC_00003582, GC_00003599, GC_00003917, GC_00004643, GC_00004685, GC_00004981, GC_00005545, GC_00005814	1	1	20	11
UDP-glucose 4-epimerase (GalE) (PDB:1A9Y)	0	1	1	NA	COG1087	GC_00000166	1	1	20	11
Phosphodiesterase/alkaline phosphatase D (PhoD) (PDB:2YEQ)	0	1	1	NA	COG3540	GC_00002559, GC_00002636	1	1	20	11
FoF1-type ATP synthase, epsilon subunit (AtpC) (PDB:3OAA) (PUBMED:29149348;30304218)	0	1	1	NA	COG0355	GC_00000342	1	1	20	11
Aspartate kinase (MetL1) (PDB:2CDQ)	0	1	1	NA	COG0527	GC_00000884, GC_00002804	1	1	20	11
Pyrroloquinoline quinone (PQQ) biosynthesis protein C (PqqC) (PDB:1OTV)	0	1	1	NA	COG5424	GC_00000537	1	1	20	11
Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase (Cls) (PDB:1BYR)	0	1	1	NA	COG1502	GC_00000218, GC_00003339, GC_00003460, GC_00004041, GC_00006622, GC_00007054	1	1	20	11
Uncharacterized conserved protein, DUF2236 family	0	1	1	NA	COG3662	GC_00001657	1	1	20	11
DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)	0	1	1	NA	COG0847	GC_00000613, GC_00000985, GC_00005046	1	1	20	11
4-hydroxy-tetrahydrodipicolinate reductase (DapB) (PDB:1ARZ) (PUBMED:29684280)	0	1	1	NA	COG0289	GC_00001513	1	1	20	11
dUTP pyrophosphatase (dUTPase) (Dut) (PDB:1DUC)	0	1	1	NA	COG0756	GC_00000407	1	1	20	11
Peptide methionine sulfoxide reductase MsrB (MsrB) (PDB:1L1D)	0	1	1	NA	COG0229	GC_00001297	1	1	20	11
ABC-type sulfate transport system, permease component (CysW)	0	1	1	NA	COG4208	GC_00001548	1	1	20	11
ABC-type spermidine/putrescine transport system, permease component II (PotC)	0	1	1	NA	COG1177	GC_00000840, GC_00002137	1	1	20	11
Cytochrome c553 (CytC553) (PDB:6Q2U)	0	1	1	NA	COG2863	GC_00000096, GC_00000293, GC_00001419, GC_00002879, GC_00003353, GC_00003763, GC_00006944	1	1	20	11
Zn-dependent glyoxalase, PhnB family (PhnB) (PDB:5KEF) (PUBMED:28034013)	0	1	1	NA	COG2764	GC_00000824, GC_00001405, GC_00006159	1	1	20	11
